location_name,dept,show_as_instock,customer_friendly_location_name
PMJ&GEMS-B-C-BANJARA HILLS-HO,FG BHHO,No,
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ Showroom,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ Sample,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,OLD GOLD,No,
PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,HMR Showroom,Yes,TS_HYD_HMR
Anantapur Mobile Marketing,D2H Anantapur,Yes,D2H_AP
Bellary Mobile Marketing,D2H Bellary,Yes,D2H_KA
Bhimavaram Mobile Marketing,D2H Bhimavaram,Yes,D2H_AP
Coimbatore Mobile Marketing,D2H Coimbatore,Yes,D2H_TN
PMJ&GEMS-B-C-Vizag-SHOWROOM,VTZ Finish goods,No,
PMJ&GEMS-B-C-BANGALORE-SHOWROOM,BLR Finish Goods,No,
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW Showroom,Yes,AP_VJW
PMJ&GEMS-B-C-BANJARA HILLS-HO,USA ,Yes,USA_Exhibition
PMJ&GEMS-B-C-HNI-SHOWROOM,HNI Finish goods,Yes,TS_HYD_12
Ongole Mobile Marketing,D2H Ongole,Yes,D2H_AP
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ Finished Goods,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ Photo,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-HO,MISCELLANEOUS,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ Distribution,Yes,TS_HYD_BNJ
Guntur Mobile Marketeting,D2H Guntur,Yes,D2H_AP
Bobbili Mobile Marketing,D2H Bobbili,Yes,D2H_AP
Kurnool Mobile Marketing,D2H Kurnool,Yes,D2H_AP
Tirupathi Mobile Marketing,D12H Tirupathi,Yes,D2H_AP
Miryalaguda Mobile Marketing,D2H Miryalaguda,Yes,D2H_TS
Karimanagar Mobile Marketing,D2H Karimnagar,Yes,D2H_TS
Eluru Mobile Marketing,D2H Eluru,Yes,D2H_AP
Khammam Mobile Marketing,D2H Khammam,Yes,D2H_TS
Mysore Mobile Marketing,D2H Mysore,Yes,D2H_KA
Nizambad Mobile Marketing,D2H Nizamabad,Yes,D2H_TS
Warangal Mobile Marketing,D2H Warangal,Yes,D2H_TS
Chennai Mobile Marketing,D2H Chennai,Yes,D2H_TN
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ INWARD,No,
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW PRODUCTION,Yes,AP_VJW
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ LABELING,No,
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,FG MUMFG,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,Order Sample / Stock Sample,No,
Tamil Nadu Mobile Marketing,D2H TN,Yes,D2H_TN
PMJ&GEMS-B-C-BANJARA HILLS-HO,NSP Showroom,Yes,AP_NSP
PMJ&GEMS-B-C-BANJARA HILLS-HO,PGS Stock Repair,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ INVENTORY,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-BANJARA HILLS-HO,PGS LABELING,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,SEMI GHAT FG,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,RAW MATERIAL,No,
Machilipatnam Mobile Marketing,D2H Machilipatnam,Yes,D2H_AP
PMJ&GEMS-B-C-SHALIBANDA,FG SHAALIB,No,
Rajahmundry Mobile Marketing,D2H Rajahmundry,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW SELECTION,Yes,AP_VJW
PMJ&GEMS-B-C-BANJARA HILLS-HO,FG PURCHASE,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,DIA STOCK REPAIR,Yes,TS_HYD_BNJ
PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,MELTING MUM,No,
PMJ&GEMS-B-C-BANJARA HILLS-HO,SWBCHN,No,
Guntur Mobile Marketeting,D2H Guntur,Yes,D2H_AP
PMJ&GEMS-B-C-BANJARA HILLS-HO,CUSTOMER ORDER BHHO,No,
Vellore Mobile Marketing,D2H Vellore,Yes,D2H_TN
Nandigama Mobile Marketing,D2H Nandigama,Yes,D2H_AP
Nandyal Mobile Marketing,D2H Nandyal,Yes,D2H_AP
PMJ&GEMS-B-C-BANJARA HILLS-HO,DISPATCH BNJ,NO,
Kakinada Mobile Marketing,D2H Kakinada,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,VJW PROMOTION,Yes,AP_VJW
Nellore Mobile Marketing,D2H Nellore,Yes,D2H_AP
PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,HNI VIJAYAWADA,Yes,AP_VJW
Srikakulam Mobile Marketing,D2H Srikakulam,Yes,D2H_AP
Chittoor Mobile Marketing,D2H Chittoor,Yes,D2H_AP
Gudivada Mobile Marketing,D2H Gudivada,Yes,D2H_AP
Vizianagaram Mobile Marketing,D2H Vizianagaram,Yes,D2H_AP
Davanagere Mobile Marketing,D2H Davanagere,Yes,D2H_KA
Bangalore Mobile Marketing,D2H Bangalore,Yes,D2H_KA
Narasaraopet Mobile Marketing,D2H Narsaraopet,Yes,D2H_AP
PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,BNJ Promotion,Yes,TS_HYD_BNJ
Ongole Mobile Marketing,D2H Ongole,Yes,D2H_AP
Salem Mobile Marketing,D2H Salem,Yes,D2H_TN
Tirunelveli Mobile Marketing,D2H Tirunelveli,Yes,D2H_TN
Kadapa Mobile Marketing,D2H Kadapa,Yes,D2H_AP
Shimoga Mobile Marketing,D2H Shimoga,Yes,D2H_KA
Tamil Nadu Mobile Marketing,D2H TN,Yes,D2H_TN
PMJ&GEMS-B-C-BANJARA HILLS-HO,HNI STOCK,Yes,TS_HYD_BNJ
Tamil Nadu Mobile Marketing,D2H TN,Yes,D2H_TN
Amalapuram Mobile Marketing,D2H Amalapuram,Yes,D2H_AP
